"","NM_MUNICIPIO","NM_VOTAVEL","votos_bolsonaro","votos","percentual"
"1","ABATIÁ","JAIR MESSIAS BOLSONARO",2329,4557,0.511081852095677
"2","ADRIANÓPOLIS","JAIR MESSIAS BOLSONARO",1379,4171,0.330616159194438
"3","AGUDOS DO SUL","JAIR MESSIAS BOLSONARO",3608,6638,0.543537210003013
"4","ALMIRANTE TAMANDARÉ","JAIR MESSIAS BOLSONARO",28400,59992,0.473396452860381
"5","ALTAMIRA DO PARANÁ","JAIR MESSIAS BOLSONARO",995,2639,0.377036756347101
"6","ALTO PARAÍSO","JAIR MESSIAS BOLSONARO",1138,2269,0.501542529748788
"7","ALTO PARANÁ","JAIR MESSIAS BOLSONARO",4030,8301,0.485483676665462
"8","ALTO PIQUIRI","JAIR MESSIAS BOLSONARO",2451,5736,0.427301255230126
"9","ALTÔNIA","JAIR MESSIAS BOLSONARO",6813,11519,0.591457591804844
"10","ALVORADA DO SUL","JAIR MESSIAS BOLSONARO",3047,5612,0.542943692088382
"11","AMAPORÃ","JAIR MESSIAS BOLSONARO",1375,3250,0.423076923076923
"12","AMPÉRE","JAIR MESSIAS BOLSONARO",4609,12197,0.377879806509797
"13","ANAHY","JAIR MESSIAS BOLSONARO",922,2192,0.420620437956204
"14","ANDIRÁ","JAIR MESSIAS BOLSONARO",6589,12869,0.512005594840314
"15","ÂNGULO","JAIR MESSIAS BOLSONARO",1294,2229,0.580529385374607
"16","ANTONINA","JAIR MESSIAS BOLSONARO",6765,11877,0.569588279868654
"17","ANTONIO OLINTO","JAIR MESSIAS BOLSONARO",2242,5396,0.415492957746479
"18","APUCARANA","JAIR MESSIAS BOLSONARO",45398,75388,0.602191330185175
"19","ARAPONGAS","JAIR MESSIAS BOLSONARO",45033,67121,0.670922662058074
"20","ARAPOTI","JAIR MESSIAS BOLSONARO",8864,15009,0.590578985941768
"21","ARAPUÃ","JAIR MESSIAS BOLSONARO",1045,2638,0.396133434420015
"22","ARARUNA","JAIR MESSIAS BOLSONARO",4680,8996,0.520231213872832
"23","ARAUCÁRIA","JAIR MESSIAS BOLSONARO",37999,86040,0.441643421664342
"24","ARIRANHA DO IVAÍ","JAIR MESSIAS BOLSONARO",716,1922,0.372528616024974
"25","ASSAÍ","JAIR MESSIAS BOLSONARO",6066,9756,0.621771217712177
"26","ASSIS CHATEAUBRIAND","JAIR MESSIAS BOLSONARO",12632,21786,0.57982190397503
"27","ASTORGA","JAIR MESSIAS BOLSONARO",10530,16060,0.655666251556662
"28","ATALAIA","JAIR MESSIAS BOLSONARO",1544,2938,0.525527569775357
"29","BALSA NOVA","JAIR MESSIAS BOLSONARO",5077,9562,0.530955866973437
"30","BANDEIRANTES","JAIR MESSIAS BOLSONARO",12543,19495,0.643395742498076
"31","BARBOSA FERRAZ","JAIR MESSIAS BOLSONARO",3215,6702,0.479707549985079
"32","BARRA DO JACARÉ","JAIR MESSIAS BOLSONARO",970,2171,0.446798710271764
"33","BARRACÃO","JAIR MESSIAS BOLSONARO",2990,6060,0.493399339933993
"34","BELA VISTA DA CAROBA","JAIR MESSIAS BOLSONARO",899,2488,0.361334405144695
"35","BELA VISTA DO PARAÍSO","JAIR MESSIAS BOLSONARO",5479,9911,0.552820098880032
"36","BITURUNA","JAIR MESSIAS BOLSONARO",3737,10052,0.371766812574612
"37","BOA ESPERANÇA","JAIR MESSIAS BOLSONARO",2044,3139,0.651162790697674
"38","BOA ESPERANÇA DO IGUAÇU","JAIR MESSIAS BOLSONARO",636,1985,0.320403022670025
"39","BOA VENTURA DE SÃO ROQUE","JAIR MESSIAS BOLSONARO",1357,4185,0.324253285543608
"40","BOA VISTA DA APARECIDA","JAIR MESSIAS BOLSONARO",2408,5433,0.443217375299098
"41","BOCAIÚVA DO SUL","JAIR MESSIAS BOLSONARO",3684,7586,0.485631426311627
"42","BOM JESUS DO SUL","JAIR MESSIAS BOLSONARO",1165,2975,0.391596638655462
"43","BOM SUCESSO","JAIR MESSIAS BOLSONARO",1681,4295,0.391385331781141
"44","BOM SUCESSO DO SUL","JAIR MESSIAS BOLSONARO",1428,2507,0.569605105704029
"45","BORRAZÓPOLIS","JAIR MESSIAS BOLSONARO",2752,5288,0.520423600605144
"46","BRAGANEY","JAIR MESSIAS BOLSONARO",1736,3612,0.48062015503876
"47","BRASILÂNDIA DO SUL","JAIR MESSIAS BOLSONARO",1009,2524,0.399762282091918
"48","CAFEARA","JAIR MESSIAS BOLSONARO",696,1875,0.3712
"49","CAFELÂNDIA","JAIR MESSIAS BOLSONARO",6502,10737,0.605569525938344
"50","CAFEZAL DO SUL","JAIR MESSIAS BOLSONARO",1759,3281,0.536117037488571
"51","CALIFÓRNIA","JAIR MESSIAS BOLSONARO",3273,5681,0.576130962858652
"52","CAMBARÁ","JAIR MESSIAS BOLSONARO",7432,14076,0.527990906507531
"53","CAMBÉ","JAIR MESSIAS BOLSONARO",35256,60009,0.587511873219017
"54","CAMBIRA","JAIR MESSIAS BOLSONARO",2872,5121,0.56082796328842
"55","CAMPINA DA LAGOA","JAIR MESSIAS BOLSONARO",4740,9475,0.500263852242744
"56","CAMPINA DO SIMÃO","JAIR MESSIAS BOLSONARO",859,2862,0.300139762403913
"57","CAMPINA GRANDE DO SUL","JAIR MESSIAS BOLSONARO",14279,27061,0.527659731717231
"58","CAMPO BONITO","JAIR MESSIAS BOLSONARO",1219,2932,0.415757162346521
"59","CAMPO DO TENENTE","JAIR MESSIAS BOLSONARO",2770,5121,0.54090997851982
"60","CAMPO LARGO","JAIR MESSIAS BOLSONARO",40538,74911,0.541148829944868
"61","CAMPO MAGRO","JAIR MESSIAS BOLSONARO",7959,16566,0.480441868888084
"62","CAMPO MOURÃO","JAIR MESSIAS BOLSONARO",29544,55781,0.529642709883294
"63","CÂNDIDO DE ABREU","JAIR MESSIAS BOLSONARO",4339,9219,0.470658422822432
"64","CANDÓI","JAIR MESSIAS BOLSONARO",3607,9377,0.384664604884291
"65","CANTAGALO","JAIR MESSIAS BOLSONARO",2586,7095,0.364482029598309
"66","CAPANEMA","JAIR MESSIAS BOLSONARO",5671,12350,0.45919028340081
"67","CAPITÃO LEÔNIDAS MARQUES","JAIR MESSIAS BOLSONARO",4547,9382,0.484651460243019
"68","CARAMBEÍ","JAIR MESSIAS BOLSONARO",8167,13740,0.594395924308588
"69","CARLÓPOLIS","JAIR MESSIAS BOLSONARO",4840,9166,0.52803840279293
"70","CASCAVEL","JAIR MESSIAS BOLSONARO",110246,190650,0.578263834251246
"71","CASTRO","JAIR MESSIAS BOLSONARO",23547,44651,0.527356610154308
"72","CATANDUVAS","JAIR MESSIAS BOLSONARO",2773,5567,0.498113885396084
"73","CENTENÁRIO DO SUL","JAIR MESSIAS BOLSONARO",2515,6812,0.369201409277745
"74","CERRO AZUL","JAIR MESSIAS BOLSONARO",3831,10562,0.362715394811589
"75","CÉU AZUL","JAIR MESSIAS BOLSONARO",4921,7185,0.684899095337509
"76","CHOPINZINHO","JAIR MESSIAS BOLSONARO",6856,13537,0.506463765974736
"77","CIANORTE","JAIR MESSIAS BOLSONARO",29090,45620,0.637658921525647
"78","CIDADE GAÚCHA","JAIR MESSIAS BOLSONARO",3439,7052,0.487663074305162
"79","CLEVELÂNDIA","JAIR MESSIAS BOLSONARO",4542,10238,0.443641336198476
"80","COLOMBO","JAIR MESSIAS BOLSONARO",64155,127228,0.50425220863332
"81","COLORADO","JAIR MESSIAS BOLSONARO",6809,14817,0.459539717891611
"82","CONGONHINHAS","JAIR MESSIAS BOLSONARO",1829,5160,0.354457364341085
